t                    , id, n, n_cum
 5.208333333333333   , 11, 0,     0
 5.25                , 11, 0,     0
 5.291666666666666   , 11, 0,     0
 5.333333333333333   , 11, 0,     0
 5.375               , 11, 0,     0
 5.416666666666666   , 11, 0,     0
 5.458333333333333   , 11, 0,     0
 5.5                 , 11, 0,     0
 5.541666666666666   , 11, 0,     0
 5.583333333333333   , 11, 0,     0
 5.625               , 11, 0,     0
 5.666666666666666   , 11, 0,     0
 5.708333333333333   , 11, 0,     0
 5.75                , 11, 0,     0
 5.791666666666666   , 11, 0,     0
 5.833333333333333   , 11, 0,     0
 5.875               , 11, 0,     0
 5.916666666666666   , 11, 0,     0
 5.958333333333333   , 11, 0,     0
 6                   , 11, 0,     0
 6.041666666666666   , 11, 0,     0
 6.083333333333333   , 11, 0,     0
 6.125               , 11, 0,     0
 6.166666666666666   , 11, 0,     0
 6.208333333333333   , 11, 0,     0
 6.25                , 11, 0,     0
 6.291666666666666   , 11, 0,     0
 6.333333333333333   , 11, 0,     0
 6.375               , 11, 0,     0
 6.416666666666666   , 11, 0,     0
 6.458333333333333   , 11, 0,     0
 6.5                 , 11, 0,     0
 6.541666666666666   , 11, 0,     0
 6.583333333333333   , 11, 0,     0
 6.625               , 11, 0,     0
 6.666666666666666   , 11, 0,     0
 6.708333333333333   , 11, 0,     0
 6.75                , 11, 0,     0
 6.791666666666666   , 11, 0,     0
 6.833333333333333   , 11, 0,     0
 6.875               , 11, 0,     0
 6.916666666666666   , 11, 0,     0
 6.958333333333333   , 11, 0,     0
 7                   , 11, 0,     0
 7.041666666666666   , 11, 0,     0
 7.083333333333333   , 11, 0,     0
 7.125               , 11, 0,     0
 7.166666666666666   , 11, 0,     0
 7.208333333333333   , 11, 0,     0
 7.25                , 11, 0,     0
 7.291666666666666   , 11, 0,     0
 7.333333333333333   , 11, 0,     0
 7.375               , 11, 0,     0
 7.416666666666666   , 11, 0,     0
 7.458333333333333   , 11, 0,     0
 7.5                 , 11, 0,     0
 7.541666666666666   , 11, 0,     0
 7.583333333333333   , 11, 0,     0
 7.625               , 11, 0,     0
 7.666666666666666   , 11, 0,     0
 7.708333333333333   , 11, 0,     0
 7.75                , 11, 0,     0
 7.791666666666666   , 11, 0,     0
 7.833333333333333   , 11, 0,     0
 7.875               , 11, 0,     0
 7.916666666666666   , 11, 0,     0
 7.958333333333333   , 11, 0,     0
 8                   , 11, 0,     0
 8.041666666666666   , 11, 0,     0
 8.083333333333332   , 11, 0,     0
 8.125               , 11, 0,     0
 8.166666666666666   , 11, 0,     0
 8.208333333333332   , 11, 0,     0
 8.25                , 11, 0,     0
 8.291666666666666   , 11, 0,     0
 8.333333333333332   , 11, 0,     0
 8.375               , 11, 0,     0
 8.416666666666666   , 11, 0,     0
 8.458333333333332   , 11, 0,     0
 8.5                 , 11, 0,     0
 8.541666666666666   , 11, 0,     0
 8.583333333333332   , 11, 0,     0
 8.625               , 11, 0,     0
 8.666666666666666   , 11, 0,     0
 8.708333333333332   , 11, 0,     0
 8.75                , 11, 0,     0
 8.791666666666666   , 11, 0,     0
 8.833333333333332   , 11, 0,     0
